RefA,RefALink,RefB,RefBLink,Snippet
Likutei Halakhot%2C_Author's Introduction.10,"https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.10",Likutei Moharan.61,https://www.sefaria.org.il/Likutei_Moharan.61," בדברי רבנו זכרונו לברכה בהתורה ״חדי רבי שמעון״ בסימן סא, שמכל הלמודים שהאדם לומד צריכים להוציא משפטי הנהגות ישרות ו"
Likutei Halakhot%2C_Author's Introduction.15,"https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.15",Likutei Moharan%2C_Part_II.23,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.23"," כגון בהתורה ״ששון ושמחה ישיגו ונסו יגון ואנחה״ [בסימן כג בלקוטי תנינא] שהוא דבור אחד, לחטף היגון ואנחה לתוך השמחה, כמבאר ש"
Likutei Halakhot%2C_Author's Introduction.17,"https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.17",Likutei Moharan%2C_Part_II.12,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.12","גלה הוא זכרונו לברכה, כמו התורה ״ואיה השה לעלה״ בלקוטי תנינא סימן יב, שהעצה המבארת שם עמקה מאד, הינו שהפשיטות והתמימות של העצה ו"
Likutei Halakhot%2C_Author's Introduction.17,"https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.17",Likutei Moharan.282,https://www.sefaria.org.il/Likutei_Moharan.282,"אה מדרך ועצה זאת. וכן בהתורה ״אזמרה לאלקי בעודי״, בסימן רפב, המובא בהלכות השכמת הבקר הלכה א. וכן בענין הרצון וההשתוקקו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.1.2",Likutei Moharan.282,https://www.sefaria.org.il/Likutei_Moharan.282,כי איתא בדברי רבנו ז״ל (בסימן רפב):
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.3.6,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.3.6",Likutei Moharan%2C_Part_II.82,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.82","חות שבפחותים, כמבאר בדברי רבנו ז״ל כמה פעמים (בלקוטי תנינא סימן פב, ועוד). ועלידיזה היה יכול להתפלל עליהם תמיד, אפלו כשפגמו בכל"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.4.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.4.3",Likutei Moharan.25,https://www.sefaria.org.il/Likutei_Moharan.25,"שר בך אתפאר״ (ישעיה מט, ג), שהם כלולים מגונין סגיאין (סימן כה), הינו הנקדות טובות שיש בכל אחד מישראל, שהם כלולים מגונין ס"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.4.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.4.3",Likutei Moharan.34,https://www.sefaria.org.il/Likutei_Moharan.34,"הם, מה שאין בחברו, כמבאר במקום אחר (לקוטי מוהר״ן חלק א׳ סימן לד). והשםיתברך מתפאר בהם כנ״ל."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.5.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.5.3",Likutei Moharan.30,https://www.sefaria.org.il/Likutei_Moharan.30,"י בחינת בקר דאברהם איש החסד (זהר מקץ רג, לקוטי מוהר״ן חלק א׳ סימן ל), דהינו עלידי שמטה כלפי חסד ודן את עצמו לכף זכות כנ״ל. ועלכ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.7.6,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.7.6",Likutei Moharan.36,https://www.sefaria.org.il/Likutei_Moharan.36,"פגמים וכו׳ שהם בחינת אמות העולם, כמובא במקום אחר (סימן לו). והשםיתברך מתאוה לקולם. וזהו: ״חברים מקשיבים לקולך השמיעינ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.12.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.12.3",Likutei Moharan.17,https://www.sefaria.org.il/Likutei_Moharan.17,״. וכן מרמז בדברי רבנו ז״ל במקום אחר (לקוטי מוהר״ן חלק א׳ סימן יז): שעלידי צדקה מעוררין הטוב שנעלם ונסתר במקומות הרחוקים מהשם
