s,highlight,text_url
ךא,"ומזה נלמד למלך ממ""ה כביכול, זה שאינו רואה בעיני השכל ואינו שומע כרוזי המלך מלכו של עולם בכל יום, ודאי הוא חרש וסומא, וכמ""ש חז""ל החרשי' שמעו והעורים הביטו וכו' , וכמ""ש בפסוק ישעי' <b>ךא</b> אמר שומר אתא בקר וגם","https://www.sefaria.org.il/Toldot_Yaakov_Yosef,_Re'eh_20?lang=he"
ךא,"אמורא והכריע כחד מינייהו ובכל דוכתי פסקינן הלכה כאמוראי ומאי קאמר הרי""ף הלכך הלכה כרב יהודה דקאי כוותיה והרי אפילו בלא כלל הלכה כר' עקיבא מחבירו הלכתא כרב יהודה דפסק הלכה כחד מהני תרי תנאי ולא עוד אלא <b>ךאפילו</b>",https://www.sefaria.org.il/Petach_Einayim_on_Gittin_38b:1?lang=he
ךא,"ואכ""ת משום <b>דלךא</b> התלמוד עיקר אלא המעשה . והלוא אמרו תלמוד גדול שמביא לידי מעשה ועכ""פ למה נקרא הלימוד עלים.","https://www.sefaria.org.il/Pri_Tzadik,_Kedoshim_7:1?lang=he"
ךא,"ידם להגן על בני דורם מבני ישראל החרדים אל דברו ויכרעו ויפולו והיו כלא היו אשר כרעו וישתחו להכנע בהשתחום תחת מלכות נ""נ כל זרע ישראל כי יש לאל יד שלשת האנשים האלה להציל את כל עם אלהי ישראל מתחת סבלות נ""נ <b>כךאשר</b>",https://www.sefaria.org.il/Chavatzelet_HaSharon_on_Daniel_3:19:2?lang=he
ךא,"<b>לפיכךאיננו</b> סכנה חברתית. יש מצווה תיאורטית להענישו, אך אין חיוב לסכן את נפשו כדי להצילו. וגם כאן לא ברור בכלל עד כמה חלה החובה על השכן או על החברה למנוע את החטא.",https://www.sefaria.org.il/Mishnat_Eretz_Yisrael_on_Mishnah_Sanhedrin_8:7:8?lang=he
ךא,"איבעית אימא סברא דרבי יוחנן סבר גאולה מאורתא נמי הואי, ורבי יהושע בן לוי סבר גאולה <b>מאורתךא</b> לא הואי, ואבעית אימא קרא בשכבך ובקומך רבי יוחנן סבר מקיש שכיבה לקימה מה קימה ק""ש ואמח""כ תפלה אף שכיבה ק""ש ואחר",https://www.sefaria.org.il/Yalkut_Shimoni_on_Torah_842:2?lang=he
ךא,"אלהים אלי אתה <b>אשחרךאפילו</b> שעבר עליו מה שעבר והיה עת שחרות וחושך נגד עיניו אעפ""כ שיחר פני ה' ולא עזבו. ואמר צמאה לך נפשי וגו'.","https://www.sefaria.org.il/Avodat_Yisrael,_Anthology,_Hilchot_Tefilah_2?lang=he"
ךא,"מסתכלין מילי כלא חד, והיינו דכמו דשבת דמעל שבתא דאיהי יראה ושריא בה יראה והסעודתא דחק""ת קדישין, ומ""מ זוכה להמשכה מעתי""ק למדת מלכות ועדמ""ש א""ה בינא דרגא דילך ואמאי אוקמוה ונתן ההוד למשה כו ס""ל ה' סלקא <b>לךאות</b>","https://www.sefaria.org.il/Pri_Tzadik,_Behar_5:5?lang=he"
ךא,"אמנם נראה דהשיטה מקובצת לא בחר בזה <b>ךאין</b> מופת חותך דאימא דהך הוא רבא באל""ף ואידך דאמר הלכתא כרב בהני תלת הוא רבה בה""א. לז""א דהטעם לפי שהוא בר פלוגתיה דרב יוסף:",https://www.sefaria.org.il/Petach_Einayim_on_Beitzah_5a:1?lang=he
ךא,"אין מערבין שמחה בשמחה מנ""ל וכו' הקשה מהר""ר אברהם פליף בליקוטיו כ""י משם בנו מאי פריך מנ""ל הא אמר לעיל בחגך ולא באשתך וצ""ע עכ""ד ולק""מ שהרי [כ'] התוס' לעיל סוף דף ח' <b>ךאיכא</b> מ""ד בחגך ולא באשתך ואין אסור לערב",https://www.sefaria.org.il/Petach_Einayim_on_Moed_Katan_9a:1?lang=he
