"RefA","RefALink","RefB","RefBLink","Snippet","MatchType","k_n_ref","DeterministicScore","RefBExact","RefBExactLink","RefBExcerpt","LLMStatus","LLMParagraph","LLMConfidence","LLMExcerpt"
"Likutei Halakhot%2C_Author's Introduction.10","https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.10","Likutei Moharan.61","https://www.sefaria.org.il/Likutei_Moharan.61","שבכל חלקי התורה מכלם צריכים להוציא עצות ודרכים ורמזים להתקרב אליו יתברך באמת וכמבאר בדברי רבנו זכרונו לברכה בהתורה חדי רבי שמעון בסימן סא שמכל הלמודים שהאדם לומד צריכים להוציא משפטי הנהגות ישרות וכו עין שם אבל לאו כל אדם זוכה לזה","k_of_n","10/40 words match (window=""שבכל חלקי התורה מכלם צריכים להוציא עצות ודרכים ורמזים להתקרב אליו יתברך באמת וכמבאר בדברי רבנו זכרונו לברכה בהתורה חדי רבי שמעון שמכל הלמודים שהאדם לומד צריכים להוציא משפטי הנהגות ישרות וכו עין שם אבל לאו כל אדם זוכה לזה"")","10/40","Likutei Moharan.61.1.3","https://www.sefaria.org.il/Likutei_Moharan.61.1.3","הינו, כי כל הלמודים שהאדם לומד, צריך שיקבל ויוציא מהם משפטי אמת, שלא יהיה בבחינת משפט מעקל, דהינו שיקבל וילמד מכל הלמודים שלומד משפטי הנהגות, שידע איך להתנהג, הן לעצמו, הן לאחרים שמתנהגים לפי דעתו, כל אחד ואחד כפי בחינתו, כפי הממשלה והרבנות שיש לו, הן לרב או למעט. וכל זה זוכין על ידי אמונת חכמים, שהוא בחינת לא תסור וכו', ואז יוכל להוציא משפטי הנהגות ישרות, בבחינת משפטי אמת, שאינו נוטה לימין ושמאל כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Author's Introduction.15","https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.15","Likutei Moharan%2C_Part_II.23","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.23","דברים נפלאים ונוראים וכונות כמה מצות בדבור אחד שגלה רבנו זכרונו לברכה כגון בהתורה ששון ושמחה ישיגו ונסו יגון ואנחה בסימן כג בלקוטי תנינא שהוא דבור אחד לחטף היגון ואנחה לתוך השמחה כמבאר שם והשם יתברך עזרני והאיר עיני למצא על פי","k_of_n","10/40 words match (window=""דברים נפלאים ונוראים וכונות כמה מצות בדבור אחד שגלה רבנו זכרונו לברכה כגון בהתורה ששון ושמחה ישיגו ונסו יגון ואנחה בלקוטי תנינא שהוא דבור אחד לחטף היגון ואנחה לתוך השמחה כמבאר שם והשם יתברך עזרני והאיר עיני למצא על פי"")","10/40","Likutei Moharan%2C_Part_II.23.1.5","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.23.1.5","וזה בחינת (ישעיהו ל״ה:י׳): ששון ושמחה ישיגו ונסו יגון ואנחה – שהיגון ואנחה בורחים ונסים מן השמחה, כי בעת השמחה דרך היגון ואנחה לעמד מן הצד כנ""ל, אבל צריך לרדף אחריהם דיקא, ולהשיגם ולהגיעם, להכניס אותם דוקא לתוך השמחה כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Author's Introduction.17","https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.17","Likutei Moharan%2C_Part_II.12","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.12","וכן בשארי עצות ודרכים נפלאים שגלה הוא זכרונו לברכה כמו התורה ואיה השה לעלה בלקוטי תנינא סימן יב שהעצה המבארת שם עמקה מאד הינו שהפשיטות והתמימות של העצה והדרך הזה עמק מאד וצריכין להרחיב הדבור בזה הרבה ולדבר מזה בכמה לשונות ובחסדי ה האיר","k_of_n","6/40 words match (window=""וכן בשארי עצות ודרכים נפלאים שגלה הוא זכרונו לברכה כמו התורה ואיה השה לעלה שהעצה המבארת שם עמקה מאד הינו שהפשיטות והתמימות של העצה והדרך הזה עמק מאד וצריכין להרחיב הדבור בזה הרבה ולדבר מזה בכמה לשונות ובחסדי ה האיר"")","6/40","Likutei Moharan%2C_Part_II.12.3.1","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.12.3.1","(זאת התורה, וגם מאמר המתחיל: אלו המתפארין עצמן וכו', וכל מה שנאמר בדרך וכו', כגון הקשו וכו' – הכל אחד, כי כל אלו המאמרים קשורים זה בזה, והם מרמזים ונסתרים בדברי רבותינו זכרונם לברכה (שבת דף עז) בתוך האגדה הפליאה מאד, מה ששאל רבי זירא את רב יהודה כד הוי בדיחא דעתא, ואי בעי מנה כל חללי דעלמא וכו', ושאל אותו כמה שאלות, והם פליאות נשגבות מאד, כגון: מאי טעמא תורא אריכא גנובתה וכו', מאי טעמא תרנגולא מדלא עינא וכו', וכל השאלות הנאמרות שם כלם הם פליאות גדולות מאד, ושם מרמז ונסתר כל הנ""ל. ומה שמובא לעיל בענין שמחה ובדיחא דעתה שיך גםכן לזה, ומרמז גםכן באגדה הנ""ל, שנאמר שם בעת שהיה בדיחא דעתה.","not_needed","","",""
"Likutei Halakhot%2C_Author's Introduction.17","https://www.sefaria.org.il/Likutei_Halakhot,_Author's_Introduction.17","Likutei Moharan.282","https://www.sefaria.org.il/Likutei_Moharan.282","מהיתומים אשר המשכיל יכול להבין מדעתו דבר מתוך דבר שכל התורה מלאה מדרך ועצה זאת וכן בהתורה אזמרה לאלקי בעודי בסימן רפב המובא בהלכות השכמת הבקר הלכה א וכן בענין הרצון וההשתוקקות להשם יתברך שמו שבכל הדברים האלה צריכים לדבר הרבה עד","k_of_n","6/40 words match (window=""מהיתומים אשר המשכיל יכול להבין מדעתו דבר מתוך דבר שכל התורה מלאה מדרך ועצה זאת וכן בהתורה אזמרה לאלקי בעודי המובא בהלכות השכמת הבקר הלכה א וכן בענין הרצון וההשתוקקות להשם יתברך שמו שבכל הדברים האלה צריכים לדבר הרבה עד"")","6/40","Likutei Moharan.282.2.14","https://www.sefaria.org.il/Likutei_Moharan.282.2.14","על כן צריך האדם להשכיל מאד על דבר זה, כי כל הנפילות שבדעתו, אףעלפי שהוא מחמת מעשים רעים שעשה באמת, עם כל זה, הנפילה שבדעתו, והעצבות והמרה שחורה שנופל עליו עלידיזה, הכל הוא רק מעשי בעל דבר, שמחליש דעתו כדי להפילו לגמרי, חס ושלום. עלכן צריכין להתחזק מאד, לילך עם התורה הזאת, לחפש ולבקש בעצמו בכל פעם איזה מעט טוב ונקדות טובות וכו' כנ""ל. ועלידיזה יחיה וישמח את עצמו, ויצפה לישועה עדין, ויוכל להתפלל ולזמר ולהודות לה', בבחינת: אזמרה לאלקי בעודי כנ""ל, ועלידיזה יזכה לשוב באמת אל ה' כנ""ל]:","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.1.2","Likutei Moharan.282","https://www.sefaria.org.il/Likutei_Moharan.282","כי איתא בדברי רבנו ז ל בסימן רפב","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.3.6","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.3.6","Likutei Moharan%2C_Part_II.82","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.82","כי משה היה יכול זאת למצא נקדה טובה אפלו בהפחות שבפחותים כמבאר בדברי רבנו ז ל כמה פעמים בלקוטי תנינא סימן פב ועוד ועלידיזה היה יכול להתפלל עליהם תמיד אפלו כשפגמו בכל התורה כלה במעשה העגל אףעלפיכן מצא בהם נקדות טובות","k_of_n","10/37 words match (window=""כי משה היה יכול זאת למצא נקדה טובה אפלו בהפחות שבפחותים כמבאר בדברי רבנו ז ל כמה פעמים ועוד ועלידיזה היה יכול להתפלל עליהם תמיד אפלו כשפגמו בכל התורה כלה במעשה העגל אףעלפיכן מצא בהם נקדות טובות"")","10/37","Likutei Moharan%2C_Part_II.82.3.1","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.82.3.1","ועקר התשובה הוא בחדש אלול, כי הם ימי רצון, שעלה משה לקבל לוחות אחרונות ופתח דרך כבושה לילך בה. והדרך שעשה משה הוא כך, שמשה קשר את עצמו אפלו לפחות שבישראל ומסר נפשו עליהם, כמו שכתוב (שמות ל״ב:ל״ב): ואם אין מחני נא. וזה פרוש (שמות ל״ה:א׳): ויקהל משה וכו' – שמשה היה מאסף ומיחד ומקשר את עצמו עם כל ישראל, אפלו עם הפחות שבפחותים. וזה פרוש (תהילים נ״ג:ד׳): כלו סג יחדו – אפלו כשאני רואה אחד מישראל, שסג מכל וכל מהקדושברוךהוא, אףעלפיכן צריך אני שנהיה יחדו – צריך ליחד ולקשר עמו, כמו שעשה משה.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.4.3","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.4.3","Likutei Moharan.25","https://www.sefaria.org.il/Likutei_Moharan.25","שזהו בחינת ישראל אשר בך אתפאר ישעיה מט ג שהם כלולים מגונין סגיאין סימן כה הינו הנקדות טובות שיש בכל אחד מישראל שהם כלולים מגונין סגיאין כי יש בכל אחד מישראל נקדה טובה אפלו בהפחותים שבהם מה שאין בחברו כמבאר במקום אחר","k_of_n","6/40 words match (window=""שזהו בחינת ישראל אשר בך אתפאר ישעיה מט ג שהם כלולים מגונין סגיאין הינו הנקדות טובות שיש בכל אחד מישראל שהם כלולים מגונין סגיאין כי יש בכל אחד מישראל נקדה טובה אפלו בהפחותים שבהם מה שאין בחברו כמבאר במקום אחר"")","6/40","Likutei Moharan.25.4.4","https://www.sefaria.org.il/Likutei_Moharan.25.4.4","וההתגלות גדלות הבורא, הוא עלידי צדקה שנותנין לעני הגון, כי עקר הגדלה והפאר הוא התגלות הגונין, וכסף וזהב הן הן הגונין, כי גונין עלאין בהם, וגונין עלאין המלבשים בכסף וזהב, אין מאירין אלא כשבאים לאיש הישראלי, כי שם מקומם, ונכללים זה בזה, ומתנהרין אלו הגונין, בבחינת (ישעיהו מ״ט:ג׳): ישראל אשר בך אתפאר; כי מקום הגונין אינו אלא אצל איש הישראלי,","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.4.3","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.4.3","Likutei Moharan.34","https://www.sefaria.org.il/Likutei_Moharan.34","סגיאין סימן כה הינו הנקדות טובות שיש בכל אחד מישראל שהם כלולים מגונין סגיאין כי יש בכל אחד מישראל נקדה טובה אפלו בהפחותים שבהם מה שאין בחברו כמבאר במקום אחר לקוטי מוהר ן חלק א סימן לד והשםיתברך מתפאר בהם כנ ל","k_of_n","7/40 words match (window=""סגיאין סימן כה הינו הנקדות טובות שיש בכל אחד מישראל שהם כלולים מגונין סגיאין כי יש בכל אחד מישראל נקדה טובה אפלו בהפחותים שבהם מה שאין בחברו כמבאר במקום אחר לקוטי מוהר ן חלק א והשםיתברך מתפאר בהם כנ ל"")","7/40","Likutei Moharan.34.4.1","https://www.sefaria.org.il/Likutei_Moharan.34.4.1","ד וכל אחד ואחד מישראל יש בו בחינת צדיק מושל, שהוא בחינת מלא פום, כמו שכתוב (ישעיהו ס׳:כ״א): ועמך (ישראל) כלם צדיקים. וזהו פרוש (תהלים קיד): ישראל ממשלותיו, הינו: מי מושל בי – צדיק.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.5.3","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.5.3","Likutei Moharan.30","https://www.sefaria.org.il/Likutei_Moharan.30","עקר ההתעוררות מהשנה כנ ל הוא עלידי בחינת בקר דאברהם איש החסד זהר מקץ רג לקוטי מוהר ן חלק א סימן ל דהינו עלידי שמטה כלפי חסד ודן את עצמו לכף זכות כנ ל ועלכן היה אברהם מגיר גרים כי היה מטה","k_of_n","6/40 words match (window=""עקר ההתעוררות מהשנה כנ ל הוא עלידי בחינת בקר דאברהם איש החסד זהר מקץ רג לקוטי מוהר ן חלק א דהינו עלידי שמטה כלפי חסד ודן את עצמו לכף זכות כנ ל ועלכן היה אברהם מגיר גרים כי היה מטה"")","6/40","Likutei Moharan.30.2.1","https://www.sefaria.org.il/Likutei_Moharan.30.2.1","ב וצריך כל אחד לבקש מאד מלמד הגון כזה, שיוכל להסביר ולהבין אותו שכל עליון וגדול כזה, דהינו השגות אלקות, כי צריך לזה רבי גדול מאד מאד, שיוכל להסביר שכל גדול כזה על ידי השכל התחתון כנ""ל, כדי שיוכלו הקטנים להבינו.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.7.6","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.7.6","Likutei Moharan.36","https://www.sefaria.org.il/Likutei_Moharan.36","בחינת הנקדות טובות שהם יושבים ומנחים בין האמות שהם התאוות רעות ופגמים וכו שהם בחינת אמות העולם כמובא במקום אחר סימן לו והשםיתברך מתאוה לקולם וזהו חברים מקשיבים לקולך השמיעיני כי השםיתברך מתאוה שיתגלו הנקדות טובות וישמיעו את קולם בזמר והלל להשםיתברך","k_of_n","8/40 words match (window=""בחינת הנקדות טובות שהם יושבים ומנחים בין האמות שהם התאוות רעות ופגמים וכו שהם בחינת אמות העולם כמובא במקום אחר והשםיתברך מתאוה לקולם וזהו חברים מקשיבים לקולך השמיעיני כי השםיתברך מתאוה שיתגלו הנקדות טובות וישמיעו את קולם בזמר והלל להשםיתברך"")","8/40","Likutei Moharan.36.7.3","https://www.sefaria.org.il/Likutei_Moharan.36.7.3","ואכילתם, שנאמר (שיר השירים ה׳:א׳): אכלו רעים; הינו התחזקותם, הוא בשר קדש, הינו: לאכל את בשרי, שהוא בחינת סלוקא דיסודא, הינו תקונו מגיע עד המחין, שהם אבא ואמא. והוא תקון הכללי, שעל ידו: צרי ואיבי לי המה כשלו ונפלו, שהם בחינת שבעים לשונות. וכשישבר התאוה הזאת, ממילא נופלים כל התאוות רעות:","not_needed","","",""
